o 	 w 	 F_D
1.679143639087559592e+00 -1.669391701048317467e+00 1.355999999999999428e+00
1.670423860390794601e+00 -1.670211358993080486e+00 1.355999999999999428e+00
1.678402282518323574e+00 -1.669462260794131625e+00 1.355999999999999428e+00
1.669682140244002966e+00 -1.670280041106978919e+00 1.355999999999999428e+00
1.677660894648372647e+00 -1.669532661976953714e+00 1.355999999999999428e+00
1.668940389634595789e+00 -1.670348562234741818e+00 1.355999999999999428e+00
1.676919475550921135e+00 -1.669602904387858633e+00 1.355999999999999428e+00
1.668198608628511437e+00 -1.670416922172151208e+00 1.355999999999999428e+00
1.676178025294181140e+00 -1.669672987823318522e+00 1.355999999999999428e+00
1.667456797304421201e+00 -1.670485120711261873e+00 1.355999999999999428e+00
1.675436543954550217e+00 -1.669742912073170160e+00 1.355999999999999428e+00
1.674695031595238248e+00 -1.669812676937058482e+00 1.355999999999999428e+00
1.673953488286731073e+00 -1.669882282207647783e+00 1.355999999999999428e+00
1.673211914110883214e+00 -1.669951727674680475e+00 1.355999999999999428e+00
1.666543668414977475e+00 -1.673685919030714286e+00 1.356999999999999318e+00
1.674538706192389981e+00 -1.672942799137273173e+00 1.356999999999999318e+00
1.665800405415243546e+00 -1.673754038387877063e+00 1.356999999999999318e+00
1.673795772813431171e+00 -1.673012650566331638e+00 1.356999999999999318e+00
1.665057112199935574e+00 -1.673821995545317076e+00 1.356999999999999318e+00
1.673052808451284790e+00 -1.673082342020739688e+00 1.356999999999999318e+00
1.664313788846815356e+00 -1.673889790294034396e+00 1.356999999999999318e+00
1.672309813174958748e+00 -1.673151873293196035e+00 1.356999999999999318e+00
1.663570435423753935e+00 -1.673957422429495301e+00 1.356999999999999318e+00
1.671566787053802017e+00 -1.673221244177282019e+00 1.356999999999999318e+00
1.670823730166031140e+00 -1.673290454465019783e+00 1.356999999999999318e+00
1.670080642576447616e+00 -1.673359503952116079e+00 1.356999999999999318e+00
1.669337524362131120e+00 -1.673428392427781297e+00 1.356999999999999318e+00
1.668594375590839007e+00 -1.673497119688924339e+00 1.356999999999999318e+00
1.667851196335330854e+00 -1.673565685526360536e+00 1.356999999999999318e+00
1.667107986665183006e+00 -1.673634089736020458e+00 1.356999999999999318e+00
1.675102773660800182e+00 -1.672889656213357279e+00 1.356999999999999318e+00
1.666364746655656148e+00 -1.673702332107971813e+00 1.356999999999999318e+00
1.674359863851055508e+00 -1.672959628970996926e+00 1.356999999999999318e+00
1.665621476376554000e+00 -1.673770412438009503e+00 1.356999999999999318e+00
1.673616923009124235e+00 -1.673029441907502690e+00 1.356999999999999318e+00
1.664878175899954016e+00 -1.673838330517554818e+00 1.356999999999999318e+00
1.672873951197761500e+00 -1.673099094820035271e+00 1.356999999999999318e+00
1.664134845300662136e+00 -1.673906086140692029e+00 1.356999999999999318e+00
1.672130948492000613e+00 -1.673168587500722726e+00 1.356999999999999318e+00
1.663391484648709451e+00 -1.673973679099210798e+00 1.356999999999999318e+00
1.671387914957779941e+00 -1.673237919743991275e+00 1.356999999999999318e+00
1.670644850674225523e+00 -1.673307091340313857e+00 1.356999999999999318e+00
1.669901755703637747e+00 -1.673376102086437278e+00 1.356999999999999318e+00
1.669158630123323661e+00 -1.673444951775295175e+00 1.356999999999999318e+00
1.662589043294691038e+00 -1.677111147247046574e+00 1.357999999999999208e+00
1.670600461927062241e+00 -1.676374387189548010e+00 1.357999999999999208e+00
1.661844259359927634e+00 -1.677178668247704785e+00 1.357999999999999208e+00
1.669856004784431747e+00 -1.676443653518697730e+00 1.357999999999999208e+00
1.661099445476981629e+00 -1.677246025811285790e+00 1.357999999999999208e+00
1.669111516915318560e+00 -1.676512758646494516e+00 1.357999999999999208e+00
1.660354601712700884e+00 -1.677313219733316485e+00 1.357999999999999208e+00
1.668366998395892864e+00 -1.676581702363448834e+00 1.357999999999999208e+00
1.659609728152691588e+00 -1.677380249798484879e+00 1.357999999999999208e+00
1.667622449295844689e+00 -1.676650484461335244e+00 1.357999999999999208e+00
1.666877869683613511e+00 -1.676719104735667099e+00 1.357999999999999208e+00
1.666133259642190723e+00 -1.676787562972049006e+00 1.357999999999999208e+00
1.665388619225463884e+00 -1.676855858972100322e+00 1.357999999999999208e+00
1.664643948523700345e+00 -1.676923992520227058e+00 1.357999999999999208e+00
1.663899247602383724e+00 -1.676991963410937592e+00 1.357999999999999208e+00
1.663154516529953497e+00 -1.677059771438917934e+00 1.357999999999999208e+00
1.671165686519660909e+00 -1.676321687696469054e+00 1.357999999999999208e+00
1.662409755376895504e+00 -1.677127416396826831e+00 1.357999999999999208e+00
1.670421252756046471e+00 -1.676391076282173209e+00 1.357999999999999208e+00
1.661664964224836893e+00 -1.677194898072944529e+00 1.357999999999999208e+00
1.669676788207627993e+00 -1.676460303825515252e+00 1.357999999999999208e+00
1.660920143144945627e+00 -1.677262216260704708e+00 1.357999999999999208e+00
1.668932292953304142e+00 -1.676529370115955819e+00 1.357999999999999208e+00
1.660175292202250574e+00 -1.677329370756212912e+00 1.357999999999999208e+00
